Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail,A1-PP7,A1-PP30
AAR,,,16187.5,315,16500,489,16,15000,26,14900,70,14900,566,,,0,20000,,,0,,,0,15786.66992,346,16000,1646,5,15000,81,6765.330078,3,16200,3,,,0,14800,141,14800,141,,,0,15982.536,15902.32301
ABH,,,52042.32031,40,54700,874,100,43800,625,45500,13,51700,764,258,45500,271,46000,,,0,,,0,49000,172,49000,919,149,46000,1194,24074.48047,5,60000,5,,,0,52550,34,52600,496,273,30100,323,51738.85785,51694.85164
ACS,,,150000,20,250000,20,1,130000,29,150000,9,150000,10,1,140000,1,74556.70313,,,0,,,0,150000,2,140000,10,1,130000,1,74556.70313,,,0,,,0,180000,,,0,,,0,148750,145250
ADE,,,49000,34,49000,1411,24,46500,546,46000,25,49700,485,47,46000,483,43000,,,0,,,0,47600,4,47600,917,43,45000,489,21210.50977,7,60000,7,,,0,49100,6,49100,548,77,32400,261,49408.11044,49356.56146
ADR,70000,,80000,10,90000,10,8,81000,108,71000,35,100000,36,100,70000,100,60000,,,0,,,0,70000,10,150000,10,10,80000,120,29108.7793,,,0,,,0,78000,53,78000,53,100,70000,100,80000,78416.669
ADS,,,114000,1,114000,363,5,90000,27,115000,10,115000,153,,,0,250000,,,0,,,0,117423.2188,135,120000,395,2,113000,44,55055.92188,1,128000,1,,,0,119000,4,119000,258,3,90000,16,109485.766,112747.4868
AEF,,,5800,1038,5800,1628,85,4600,583,4000,1163,4000,3484,167,3710,859,4000,,,0,,,0,4800,35,4800,2247,14,3720,1048,4500,69,4000,266,,,0,42963.32813,,,0,13,3040,213,5276.19048,5071.598965
AEN,,,2000000,,,0,,,0,1500000,,,0,1,1000000,1,974291.3125,,,0,1,1000000,1,2500000,,,0,2,989000,2,974291.3125,,,0,,,0,974291.3125,,,0,,,0,2000000,2000000
AFP,,,134241.8438,,,0,,,0,134241.8438,,,0,,,0,134241.8438,,,0,,,0,30000,,,0,,,0,134241.8438,,,0,,,0,134241.8438,,,0,,,0,134241.84,134241.84
AFR,,,19000,16,40000,16,37,16000,37,19000,,,0,20,16000,20,7797.120117,,,0,,,0,18000,5,20000,11,49,18000,67,7797.120117,,,0,,,0,20000,,,0,,,0,19000,18424.68077
AGS,,,400000,,,0,2,250000,2,400000,7,600000,7,,,0,500000,,,0,,,0,551241.5,10,600000,10,1,450000,1,219398.5,,,0,,,0,700000,2,799000,3,,,0,400000,400000
AHP,,,8600,320,8400,3813,376,6000,376,12000,100,12000,143,,,0,5547.209961,,,0,,,0,11900,300,11100,1586,100,8500,300,5547.209961,,,0,,,0,14500,10,17700,37,20,9000,20,8600,8716.823434
AIR,200000,,200000,15,201000,19,100,200000,100,200000,1,221000,1,100,200000,100,90993.92188,,,0,,,0,200000,3,210000,13,100,200000,100,90993.92188,,,0,,,0,200000,4,250000,4,100,200000,100,200018.663,200021.2811
AL,,,1110,994,1150,66515,1343,1110,40537,1180,100,1170,29798,30,970,6764,1250,179,1250,179,901,950,903,1185.859985,1814,1360,32654,279,1180,22455,750,213,1000,253,,,0,1066.219971,1000,1100,16975,121,1060,8138,1128.639367,1177.84088
ALE,,,1300,1583,1300,20720,30,1260,12654,1490,936,1490,12605,100,1200,3484,1300,100,1500,100,,,0,1464,1693,1470,11664,200,1260,6518,1000,13,1000,1126,,,0,1280,7,1280,15080,60,1200,5743,1306.559893,1325.811035
ALG,,,321,980,321,22688,1300,312,27249,311,2150,315,11284,1317,311,26618,250,,,0,,,0,367.4599915,111,368,34380,4629,350,5551,100,,,0,1000,200,1000,305,442,305,24395,5000,250,18378,301.6579833,324.4192672
ALO,42,,220,1349,220,65070,1287,181,36249,255,1471,255,39067,17,226,12506,200,888,400,888,,,0,319,1723,319,46883,193,278,17473,250,,,0,1000,250,4000,260,729,260,22774,330,220,7038,201.7354837,238.6831756
AMM,61,,143.1300049,28,144,22979,1000,112,11538,130,6819,130,100157,94,120,40365,90,611,100,1989,50,95,50,96.19999695,5780,105,169560,2000,96.09999847,74975,90,500,100,3773,2227,90,2227,108,416,114,44943,684,108,24616,142.7245298,140.3425985
ANZ,,,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.54688,,,0,,,0,70600.55,70600.55
APT,,,14000,173,14000,1062,40,12000,40,15000,,,0,,,0,6935.350098,,,0,,,0,22000,,,0,50,12000,50,6935.350098,,,0,,,0,50000,1,50000,1,,,0,13360.05435,13003.23409
AR,,,138.2100067,100,140,33529,20000,106,51163,158,4078,158,94515,1000,140,29268,200,,,0,300,200,1300,200,901,200,32258,2000,165,14100,400,200,270,200,,,0,200,2000,240,16139,42,180,2576,145.9598398,156.5595262
ARP,,,10000,43,10000,121,,,0,8500,,,0,,,0,4639.379883,,,0,,,0,8500,99,8500,102,,,0,4639.379883,,,0,,,0,4639.379883,,,0,,,0,10000,10000
ASE,,,42500,49,42500,465,21,40200,526,42900,44,42900,291,42,31500,44,42000,,,0,10,33000,10,38600,250,38600,1387,260,36000,721,19526.61914,10,48000,10,,,0,40362.5,4,40400,665,80,32600,80,47186.08298,43899.74865
AST,,,2250,83,2600,2421,354,2250,2614,2700,14,2300,658,100,2000,101,1626.449951,100,10000,100,,,0,2890,1234,2890,5608,2,1000,2,2000,,,0,,,0,2000,602,2980,722,,,0,2316.834677,2444.080032
ATA,,,29400,76,29400,303,46,25000,46,28735,1,28800,383,51,25500,66,1600,,,0,,,0,27400,6,30000,593,241,27400,638,15767.91016,10,38000,10,,,0,28700,13,28700,212,26,26000,156,28938.93103,27046.60529
ATP,,,9000,,,0,196,9000,196,30000,,,0,,,0,12361,,,0,,,0,25000,16,35000,16,,,0,12361,,,0,,,0,25000,,,0,,,0,9000,12300
AU,,,2900,9,2900,7071,98,2110,752,2000,95,2000,1212,100,1590,1537,950,,,0,,,0,1720,5,2190,8398,68,1720,1023,998,20,1200,71,,,0,961,155,1800,3659,50,1000,858,2997.598271,2783.371776
AUO,137,,600,174,900,16762,350,401,3994,500,200,589,3284,8,500,2481,225,,,0,900,225,900,470,349,470,15370,900,381,24133,270,51,270,51,,,0,301,458,550,1483,1670,301,2497,500.1114296,591.9200581
AWF,,,5800,18,5800,198,100,5500,100,6000,48,6000,84,,,0,2940.560059,,,0,,,0,5950,29,6000,423,100,5000,200,2940.560059,5,5950,5,,,0,6000,7,6000,17,,,0,5800,5833.335
AWH,,,13500,29,25000,29,157,12000,257,12500,25,25000,25,,,0,8377.230469,,,0,,,0,20000,39,20000,63,50,10000,150,8377.230469,,,0,,,0,25000,10,24900,29,,,0,12460.84578,12307.66535
BAC,,,2090,96,2090,5186,250,1900,750,2100,622,2100,1300,,,0,1276.02002,,,0,,,0,1900,225,2100,5004,24,1810,1924,1276.02002,10,2250,10,,,0,2000,3000,2570,4162,200,2100,230,1965.324832,2140.154646
BAI,,,17000,1,18000,11,99,17000,568,16000,30,16000,30,2,5900,2,6790,,,0,,,0,16200,2,19900,69,21,16200,272,6790,,,0,,,0,12000,2,15000,2,,,0,16966.656,16815.97048
BBH,750,2550,2550,100,2550,880,695,2410,1678,2500,40,2540,597,40,2500,1276,2540,18,2500,349,28,1900,36,2550,100,2550,5447,53,2470,2329,2550,144,2550,144,69,1960,118,2550,100,2550,274,7,2500,849,2540.601921,2539.847707
BCO,,,798,70,798,1939,500,731,8270,845,543,845,2388,275,650,13859,660,,,0,,,0,751.3400269,2000,751,17895,1000,700,14400,640,200,747,200,,,0,680,153,650,7543,100,505,1100,759.3032439,766.4850496
BDE,850,2350,2350,100,2350,120,365,2300,2424,2250,100,2350,214,155,2250,1061,2300,26,2300,767,,,0,2350,100,2350,221,84,2190,1740,2300,68,2300,302,20,2000,24,2340,149,2340,565,19,2290,138,2345.004544,2342.496822
BE,,,1804.680054,156,1890,22248,309,1800,2509,1710,126,1900,3550,265,1710,885,2900,42,2900,142,,,0,1700,30,1700,33727,670,1510,4296,1700,18,1700,18,,,0,2050,160,1900,8776,,,0,1885.933651,2008.213108
