Building,Ticker,RecipeID,WfCst,Deprec,Area,AllBuildCst,Output1CNT,Output1MAT,Output2CNT,Output2MAT,Output3CNT,Output3MAT,Input1CNT,Input1MAT,Input2CNT,Input2MAT,Input3CNT,Input3MAT,Input4CNT,Input4MAT,Input5CNT,Input5MAT,Input6CNT,Input6MAT,Input7CNT,Input7MAT,Input8CNT,Input8MAT,Input9CNT,Input9MAT,Input10CNT,Input10MAT,RecipP/D,Runs P/D,Output P/D,AreaPerOutput
AAF,NV2,NV2,18566.25,7598.33,60.0,1468840,1,NV2,,,,,1,BMF,1,SNM,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,75.00000
AAF,CRU,CRU,20422.88,8358.17,60.0,1468840,1,CRU,,,,,1,CST,10,ES,3,FC,6,FLP,1,PCB,1,SAR,1,WAI,,,,,,,1.37500,0.72727,0.72727,82.50000
AAF,TAC,TAC,22279.50,9118.00,60.0,1468840,1,TAC,,,,,1,BMF,1,DA,1,SA,,,,,,,,,,,,,,,1.50000,0.66667,0.66667,90.00000
AAF,CC,CC,22279.50,9118.00,60.0,1468840,1,CC,,,,,8,FC,100,GV,1,PCB,10,SAR,20,THF,1,WAI,,,,,,,,,1.50000,0.66667,0.66667,90.00000
AAF,STS,STS,18566.25,7598.33,60.0,1468840,1,STS,,,,,1,TPU,1,WAI,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,75.00000
AML,BOS,BOS,2162.22,1908.72,52.6,1270264,4,BOS,,,,,4,AL,1,BOR,1,SI,,,,,,,,,,,,,,,0.31250,3.20000,12.80000,4.10938
AML,BE,BE,432.44,381.74,52.6,1270264,1,BE,1,AL,1,SIO,2,BER,,,,,,,,,,,,,,,,,,,0.06250,16.00000,16.00000,3.28750
AML,TA,TA,2810.88,2481.33,52.6,1270264,1,TA,1,FE,,,2,TAI,,,,,,,,,,,,,,,,,,,0.40625,2.46154,2.46154,21.36875
AML,ZR,ZR,2594.66,2290.46,52.6,1270264,1,ZR,2,SIO,,,2,ZIR,,,,,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,19.72500
AML,W,W,2594.66,2290.46,52.6,1270264,1,W,,,,,5,BTS,,,,,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,19.72500
APF,WR,WR,7579.03,7365.25,51.6,1423032,1,WR,,,,,1,AWF,1,FC,12,FLP,1,PCB,1,SEN,1,WAI,,,,,,,,,1.06250,0.94118,0.94118,54.82500
APF,LOG,LOG,4012.43,3899.25,51.6,1423032,1,LOG,,,,,1,BMF,1,LD,1,SAL,,,,,,,,,,,,,,,0.56250,1.77778,1.77778,29.02500
APF,COM,COM,3343.69,3249.38,51.6,1423032,1,COM,,,,,1,AAR,1,BWS,4,RAD,,,,,,,,,,,,,,,0.46875,2.13333,2.13333,24.18750
APF,RCS,RCS,8916.50,8665.00,51.6,1423032,1,RCS,,,,,1,BWS,1,DA,1,OS,1,SAR,,,,,,,,,,,,,1.25000,0.80000,0.80000,64.50000
